,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAGRAAPEI-201-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAHRAAPEI-202-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAIRAAPEI-205-counts.tsv
ENSG00000146090,30,18,34,20,27,17
ENSG00000146094,244,172,168,208,291,157
ENSG00000146109,1103,828,939,681,1056,722
ENSG00000146112,460,423,499,267,467,362
ENSG00000146122,3,2,3,0,3,1
ENSG00000146143,791,641,650,593,836,657
ENSG00000146147,0,0,0,0,0,0
ENSG00000146151,555,504,475,443,713,512
ENSG00000146166,0,0,0,0,0,0
ENSG00000146192,2,2,1,3,3,2
ENSG00000146197,66,62,49,71,91,80
ENSG00000146205,29,22,25,21,16,13
ENSG00000146215,0,0,0,0,0,0
ENSG00000146216,5,2,2,3,7,2
ENSG00000146221,3,0,0,5,4,3
ENSG00000146223,7867,6518,6368,5466,8298,5895
ENSG00000146232,216,177,190,172,273,201
ENSG00000146233,0,0,0,0,0,1
ENSG00000146242,4072,3068,3367,2660,4047,2862
ENSG00000146243,129,86,107,72,149,93
ENSG00000146247,3361,2832,2849,2597,4170,2970
ENSG00000146250,6,8,9,14,8,9
ENSG00000146263,1339,962,932,947,1477,1062
ENSG00000146267,311,200,208,187,294,216
ENSG00000146276,0,0,0,0,1,0
ENSG00000146278,534,385,521,1255,1849,1399
ENSG00000146281,338,268,218,202,279,220
ENSG00000146282,1364,1044,1149,908,1475,1111
ENSG00000146285,0,0,0,0,0,0
ENSG00000146350,108,78,100,96,143,136
ENSG00000146352,0,0,0,0,0,0
ENSG00000146360,0,0,0,0,0,0
ENSG00000146373,2,0,3,3,9,5
ENSG00000146374,0,0,0,0,0,0
ENSG00000146376,193,172,149,148,246,151
ENSG00000146378,0,0,0,0,0,0
ENSG00000146383,0,0,0,0,0,0
ENSG00000146385,0,0,0,0,0,0
ENSG00000146386,1527,1254,1203,1067,1792,1237
ENSG00000146399,0,0,0,0,0,0
ENSG00000146409,328,268,280,238,373,328
ENSG00000146410,349,336,321,255,445,287
ENSG00000146411,0,1,2,0,1,1
ENSG00000146414,398,333,319,321,464,371
ENSG00000146416,803,670,749,662,1068,749
ENSG00000146425,1615,1376,1344,1188,1871,1416
ENSG00000146426,136,115,115,72,127,108
ENSG00000146433,1577,1247,1252,1144,1693,1220
ENSG00000146453,2,1,3,2,1,1
ENSG00000146457,1295,1108,1073,914,1497,1081
ENSG00000146463,1534,1225,1169,1032,1607,1144
ENSG00000146469,0,0,0,0,0,0
ENSG00000146476,7438,6137,6336,4851,8579,6002
ENSG00000146477,0,0,0,0,0,0
ENSG00000146530,1277,1129,1153,930,1419,1164
ENSG00000146535,3148,2482,2672,2400,3385,2556
ENSG00000146540,2859,2091,2416,2240,3340,2332
ENSG00000146555,1973,1553,1698,1665,2241,1642
ENSG00000146574,775,628,706,505,890,632
ENSG00000146576,1045,724,798,703,944,672
ENSG00000146587,1554,1239,1218,860,1494,1013
ENSG00000146592,2,2,2,5,5,3
ENSG00000146618,0,0,0,0,0,0
ENSG00000146648,83,59,65,57,81,70
ENSG00000146670,4212,3400,3379,3165,4584,3288
ENSG00000146674,16,9,17,7,20,17
ENSG00000146676,2139,1700,1659,1458,2430,1638
ENSG00000146678,0,0,0,0,0,0
ENSG00000146700,34,12,18,17,21,30
ENSG00000146701,6239,4944,5111,4876,7162,5211
ENSG00000146707,33,26,21,29,39,31
ENSG00000146729,1473,1211,1211,1003,1676,1182
ENSG00000146731,12152,9667,9445,8598,13259,9020
ENSG00000146733,769,679,691,527,829,637
ENSG00000146755,2,3,0,2,1,3
ENSG00000146757,401,316,273,192,324,218
ENSG00000146776,188,169,158,161,258,186
ENSG00000146802,686,549,613,462,774,522
ENSG00000146809,0,0,0,0,0,0
ENSG00000146826,529,361,387,403,572,405
ENSG00000146828,1709,1300,1419,1298,1809,1274
ENSG00000146830,3431,2595,2858,2585,3818,2833
ENSG00000146833,386,305,335,240,370,305
ENSG00000146834,3497,2693,2747,2878,4336,3003
ENSG00000146839,2,5,2,4,1,4
ENSG00000146842,488,379,350,394,581,413
ENSG00000146856,21,11,11,7,14,8
ENSG00000146857,0,0,0,0,0,0
ENSG00000146858,256,174,204,177,249,175
ENSG00000146859,255,175,195,205,232,164
ENSG00000146872,3999,3416,3425,3024,4804,3407
ENSG00000146904,734,527,567,528,728,463
ENSG00000146909,1657,1320,1262,1236,1806,1270
ENSG00000146910,0,0,0,0,1,0
ENSG00000146918,6037,4993,4957,4510,6994,5054
ENSG00000146926,0,0,0,0,0,0
ENSG00000146938,0,0,0,0,0,0
ENSG00000146950,1871,1478,1639,1380,2050,1575
ENSG00000146955,4,3,6,2,4,2
ENSG00000146963,1518,1276,1249,1099,1686,1209
ENSG00000146966,6,1,0,0,0,1
ENSG00000147003,21,11,23,8,22,15
ENSG00000147010,1103,930,932,835,1278,979
ENSG00000147027,2,0,3,3,4,1
ENSG00000147036,25,20,17,15,24,15
ENSG00000147041,2251,1674,1716,1558,2372,1682
ENSG00000147044,2172,1745,1654,1624,2443,1750
ENSG00000147050,1033,837,761,758,1295,862
ENSG00000147059,24,11,34,25,33,27
ENSG00000147065,2,1,0,2,0,0
ENSG00000147081,0,0,0,0,0,0
ENSG00000147082,5,8,3,9,7,1
ENSG00000147099,440,349,348,347,547,396
ENSG00000147100,1962,1519,1628,1473,1990,1524
ENSG00000147113,0,0,0,0,1,0
ENSG00000147117,4,8,5,2,10,3
ENSG00000147118,161,138,154,100,167,115
ENSG00000147119,108,70,101,103,144,105
ENSG00000147121,272,222,214,164,311,205
ENSG00000147123,2080,1559,1781,1480,2391,1672
ENSG00000147124,398,349,326,234,446,301
ENSG00000147127,5,5,6,5,1,3
ENSG00000147130,2278,1884,2062,1451,2302,1704
ENSG00000147133,2777,2147,2178,1970,2836,2119
ENSG00000147138,0,0,0,0,0,0
ENSG00000147140,16949,13792,13745,12406,19242,13786
ENSG00000147144,1004,714,794,637,967,751
ENSG00000147145,1,4,1,3,1,3
ENSG00000147155,2799,2268,2262,1997,3156,2367
ENSG00000147160,0,0,0,0,0,0
ENSG00000147162,6852,5541,5669,4904,7921,5643
ENSG00000147164,2020,1604,1431,1422,2122,1466
ENSG00000147166,55,37,44,20,51,32
ENSG00000147168,2,4,5,4,3,1
ENSG00000147174,49,42,27,29,40,29
ENSG00000147180,195,168,173,122,232,161
ENSG00000147183,0,0,0,0,0,0
ENSG00000147202,354,276,260,288,394,299
ENSG00000147206,1,0,3,0,0,0
ENSG00000147223,1,0,0,0,1,1
ENSG00000147224,2115,1758,1693,1511,2422,1726
ENSG00000147231,1,0,2,1,2,1
ENSG00000147234,39,43,57,39,71,40
ENSG00000147246,8,5,3,7,8,6
ENSG00000147251,18,13,11,7,14,7
ENSG00000147255,268,188,193,214,301,180
ENSG00000147256,27,16,15,17,18,16
ENSG00000147257,10,8,15,11,9,11
ENSG00000147262,0,0,0,0,0,0
ENSG00000147274,10272,8370,8374,7150,11799,8519
ENSG00000147316,228,234,188,166,252,170
ENSG00000147324,613,484,569,493,691,519
ENSG00000147364,292,221,218,189,366,212
ENSG00000147378,21,20,24,17,34,18
ENSG00000147381,1,0,5,1,3,2
ENSG00000147383,1698,1350,1415,1052,1707,1363
ENSG00000147394,209,152,165,125,203,134
ENSG00000147400,2023,1683,1698,1447,2447,1699
ENSG00000147403,35924,28543,29159,25810,42220,29836
ENSG00000147408,57,33,42,18,58,38
ENSG00000147416,1339,1011,1075,969,1422,1071
ENSG00000147419,1046,899,876,708,1213,831
ENSG00000147421,378,283,338,250,481,353
ENSG00000147432,0,0,0,0,0,0
ENSG00000147434,0,0,0,0,0,0
ENSG00000147437,52,31,31,32,57,40
ENSG00000147439,266,218,208,243,296,236
ENSG00000147443,0,0,1,0,0,0
ENSG00000147454,1351,999,1036,888,1381,988
ENSG00000147457,1167,922,997,819,1230,891
ENSG00000147459,1602,1295,1300,1151,1754,1251
ENSG00000147465,1,4,5,1,2,2
ENSG00000147471,1039,950,905,794,1178,901
ENSG00000147475,1704,1373,1350,1174,1792,1318
ENSG00000147481,0,0,0,0,0,0
ENSG00000147485,3,1,1,3,1,2
ENSG00000147488,0,0,0,0,0,0
ENSG00000147509,2,8,4,12,15,7
ENSG00000147526,1195,997,976,849,1314,961
ENSG00000147533,887,718,730,635,913,655
ENSG00000147535,1020,784,764,811,1307,905
ENSG00000147536,547,412,378,423,586,403
ENSG00000147548,2267,1833,1838,1555,2500,1750
ENSG00000147570,1,1,1,2,0,6
ENSG00000147571,2,2,0,2,4,2
ENSG00000147573,5,4,6,2,17,8
ENSG00000147576,6,3,4,0,7,5
ENSG00000147586,125,99,106,95,127,87
ENSG00000147588,0,0,0,0,0,0
ENSG00000147592,226,196,184,182,292,179
ENSG00000147596,0,0,0,0,0,0
ENSG00000147601,487,399,379,325,564,424
ENSG00000147604,19477,15938,15139,13797,21968,15390
ENSG00000147606,1,0,0,0,0,0
ENSG00000147613,1,0,0,0,0,0
ENSG00000147614,0,0,0,0,0,0
ENSG00000147642,198,144,147,128,223,149
ENSG00000147647,0,0,0,0,0,0
ENSG00000147649,7642,6304,6421,5663,8856,6378
ENSG00000147650,190,148,150,170,223,188
ENSG00000147654,850,798,738,635,1033,725
ENSG00000147655,0,0,0,0,0,0
ENSG00000147669,1888,1594,1517,1328,2241,1595
ENSG00000147676,6370,5076,5216,4475,7132,5202
ENSG00000147677,6744,5567,5485,4839,7857,5568
ENSG00000147679,1019,834,772,675,1120,709
ENSG00000147684,4210,3495,3162,2861,4439,3158
ENSG00000147687,1896,1633,1570,1323,2199,1542
ENSG00000147689,687,532,584,544,680,485
ENSG00000147697,0,0,0,1,0,1
ENSG00000147724,0,0,0,0,0,0
ENSG00000147789,738,657,569,505,811,590
ENSG00000147799,1273,837,1057,957,1436,1032
ENSG00000147804,431,274,398,336,556,353
ENSG00000147813,554,357,353,371,461,365
ENSG00000147852,252,197,211,140,240,203
ENSG00000147853,1555,1285,1295,1163,1844,1421
ENSG00000147854,1001,787,772,706,1138,821
ENSG00000147862,1357,1094,1092,1010,1571,1249
ENSG00000147869,0,0,0,0,0,0
ENSG00000147872,76,76,59,50,81,53
ENSG00000147873,0,0,0,0,0,0
ENSG00000147874,1015,851,832,619,1002,710
ENSG00000147883,0,0,0,0,0,0
ENSG00000147885,0,0,0,0,0,0
ENSG00000147889,0,0,0,0,0,0
ENSG00000147894,211,161,150,156,293,214
ENSG00000147896,0,0,0,0,0,0
ENSG00000147905,472,352,341,273,446,346
ENSG00000147912,246,184,173,163,216,157
ENSG00000147955,530,408,454,406,574,407
ENSG00000147996,1489,1300,1292,1179,1736,1318
ENSG00000148019,2680,2135,2013,1804,2769,1950
ENSG00000148053,1546,1251,1281,1243,1785,1174
ENSG00000148057,120,103,92,93,145,86
ENSG00000148082,84,47,72,53,90,38
ENSG00000148090,381,286,331,264,414,313
ENSG00000148110,3312,2639,2572,2479,3732,2587
ENSG00000148120,807,607,637,591,858,568
ENSG00000148123,0,1,1,0,0,0
ENSG00000148136,0,0,0,0,0,0
ENSG00000148143,173,159,147,124,211,145
ENSG00000148153,1364,1093,1092,911,1572,1072
ENSG00000148154,3506,2733,2811,2445,4014,2875
ENSG00000148156,1,1,3,1,1,1
ENSG00000148158,1656,1332,1392,1333,1948,1446
ENSG00000148175,1297,1117,1156,1039,1646,1114
ENSG00000148180,1250,1004,1131,967,1477,1101
ENSG00000148187,1449,1232,1134,979,1733,1105
ENSG00000148200,204,131,168,181,260,235
ENSG00000148204,19,8,5,5,21,13
ENSG00000148215,1,0,0,0,0,0
ENSG00000148218,1523,1270,1327,1030,1593,1212
ENSG00000148219,673,470,439,473,751,494
ENSG00000148225,138,142,146,102,172,128
ENSG00000148229,5274,4267,4019,3612,5723,3947
ENSG00000148248,10209,8248,8760,7740,11332,8415
ENSG00000148288,0,0,0,0,0,0
ENSG00000148290,693,591,597,540,790,576
ENSG00000148291,969,743,701,654,968,694
ENSG00000148296,2777,1947,2021,1706,2371,1635
ENSG00000148297,2791,2247,2370,1963,2900,2100
ENSG00000148300,1445,1153,1190,1085,1457,1110
ENSG00000148303,60860,49373,48368,43893,70511,50353
ENSG00000148308,3136,2421,2670,2261,3183,2436
ENSG00000148331,1073,807,819,664,1011,690
ENSG00000148334,4888,3510,3715,3579,5108,3677
ENSG00000148335,1097,874,851,843,1324,933
ENSG00000148337,4427,3753,3833,3671,5165,3825
ENSG00000148339,1590,1282,1332,1832,2813,1867
ENSG00000148341,7925,5913,6845,6067,8794,6645
ENSG00000148343,1259,971,1010,893,1333,964
ENSG00000148344,153,140,140,124,207,122
ENSG00000148346,9,9,5,13,18,11
ENSG00000148356,810,641,732,634,966,786
ENSG00000148357,20,12,12,15,18,12
ENSG00000148358,3820,3009,3185,2931,4173,3119
ENSG00000148362,2929,2040,2282,2078,3017,2149
ENSG00000148377,1,2,1,4,12,6
ENSG00000148384,1347,868,1130,925,1350,1002
ENSG00000148386,0,0,0,0,0,0
ENSG00000148396,10473,8390,8732,8183,11292,8442
ENSG00000148399,1488,1060,1237,1046,1525,1053
ENSG00000148400,1675,1132,1274,1225,1696,1201
ENSG00000148408,2,0,0,0,2,1
ENSG00000148411,987,766,879,723,1060,821
ENSG00000148426,350,265,323,233,338,281
ENSG00000148429,1294,1112,1154,1000,1536,1237
ENSG00000148444,344,231,278,174,294,226
ENSG00000148450,1286,1097,1154,875,1500,1089
ENSG00000148459,833,582,582,592,892,518
ENSG00000148468,17,10,17,8,22,13
ENSG00000148481,622,484,471,453,724,496
ENSG00000148482,0,0,0,0,0,0
ENSG00000148483,5,3,3,9,2,3
ENSG00000148484,1000,781,831,780,1182,761
ENSG00000148488,238,212,206,199,269,226
ENSG00000148498,1381,1054,1038,1012,1471,1091
ENSG00000148513,1173,1049,1066,883,1567,1073
ENSG00000148516,6,6,1,8,7,8
ENSG00000148541,48,40,39,40,62,60
ENSG00000148572,478,359,389,326,575,382
ENSG00000148584,2,0,3,0,1,0
ENSG00000148600,0,0,0,0,0,0
ENSG00000148602,0,0,0,0,0,0
ENSG00000148604,0,0,0,0,0,0
ENSG00000148606,1405,1182,1081,1034,1549,1130
ENSG00000148634,1768,1437,1451,1331,2040,1521
ENSG00000148655,5,1,6,3,3,1
ENSG00000148660,1810,1431,1319,1228,1915,1390
ENSG00000148671,0,0,0,0,0,0
ENSG00000148672,3317,2800,2659,2273,3550,2572
ENSG00000148677,2,3,0,0,1,0
ENSG00000148680,4,6,1,6,2,2
ENSG00000148688,647,528,516,475,689,561
ENSG00000148690,579,409,503,342,552,417
ENSG00000148700,6,9,7,7,19,20
ENSG00000148702,3,0,0,1,3,0
ENSG00000148704,0,0,0,0,0,0
ENSG00000148719,1603,1302,1280,1208,1694,1245
ENSG00000148730,5277,4300,4230,4067,5807,4320
ENSG00000148734,0,0,0,1,0,0
ENSG00000148735,60,36,38,38,49,33
ENSG00000148737,352,291,283,264,434,319
ENSG00000148773,17139,15564,16109,11441,17978,13136
ENSG00000148795,0,2,2,0,3,0
ENSG00000148798,0,0,0,0,0,0
ENSG00000148803,61,48,50,44,95,54
ENSG00000148814,195,153,167,143,221,161
ENSG00000148824,128,103,118,109,170,108
ENSG00000148826,1,0,0,0,0,0
ENSG00000148832,13,11,15,9,9,4
ENSG00000148834,2539,2007,2011,1788,2606,1985
ENSG00000148835,365,320,350,205,387,268
ENSG00000148840,3004,2386,2170,2230,3362,2416
ENSG00000148841,143,99,105,131,175,118
ENSG00000148842,303,241,221,257,314,270
ENSG00000148843,3683,2790,2810,2671,3531,2659
ENSG00000148848,1,0,0,0,0,1
ENSG00000148908,673,451,540,448,778,517
ENSG00000148925,1196,1055,999,824,1434,1036
ENSG00000148926,47,35,37,34,54,40
ENSG00000148935,0,2,0,0,0,0
ENSG00000148942,5,5,2,9,6,8
ENSG00000148943,816,691,655,577,1016,632
ENSG00000148948,10,9,12,10,12,17
ENSG00000148950,465,415,360,316,528,366
ENSG00000148965,0,0,0,0,0,0
ENSG00000148985,544,391,460,365,544,405
ENSG00000149016,372,258,306,223,344,238
ENSG00000149021,0,0,0,0,0,0
ENSG00000149043,470,268,276,383,496,293
ENSG00000149050,0,0,0,0,0,0
ENSG00000149054,0,0,0,0,0,0
ENSG00000149084,802,648,654,564,972,691
ENSG00000149089,998,851,740,661,1138,865
ENSG00000149090,0,0,0,2,0,2
ENSG00000149091,4394,3350,3627,3531,4888,3517
ENSG00000149100,5406,4438,4336,3482,5948,4148
ENSG00000149115,3553,2760,3034,2286,3200,2250
ENSG00000149124,0,0,0,0,0,0
ENSG00000149131,3,5,1,5,3,1
ENSG00000149133,0,0,0,0,0,0
ENSG00000149136,5782,4839,4786,4320,6444,4782
ENSG00000149150,77,50,62,43,78,55
ENSG00000149177,1958,1601,1620,1484,2223,1711
ENSG00000149179,512,422,386,384,645,461
ENSG00000149182,4086,3256,3466,3026,4490,3316
ENSG00000149187,6834,5359,5503,4884,7639,5412
ENSG00000149196,1101,789,891,724,1085,885
ENSG00000149201,15,18,17,18,26,30
ENSG00000149212,277,206,210,169,312,253
ENSG00000149218,1862,1546,1568,1525,2268,1618
ENSG00000149231,53,41,35,30,46,36
ENSG00000149243,157,89,100,80,105,86
ENSG00000149256,86,35,32,45,60,44
ENSG00000149257,5208,4058,4726,3736,5887,4264
ENSG00000149260,108,91,85,95,127,132
ENSG00000149262,787,695,757,581,868,694
ENSG00000149269,204,191,156,143,235,163
ENSG00000149273,52220,42331,42269,39840,60321,42938
ENSG00000149289,21,27,6,27,30,23
ENSG00000149292,325,282,275,266,411,289
ENSG00000149294,15,7,8,7,13,15
ENSG00000149295,37,40,31,45,55,36
ENSG00000149300,0,0,1,4,2,0
ENSG00000149305,0,0,0,0,0,0
ENSG00000149308,560,395,520,402,582,412
ENSG00000149311,904,779,766,651,1130,805
ENSG00000149313,716,579,522,414,707,496
ENSG00000149328,1312,999,996,1082,1410,971
ENSG00000149346,644,521,520,471,694,488
ENSG00000149357,3343,2506,2694,2470,3593,2672
ENSG00000149380,5,4,6,13,4,10
ENSG00000149403,9,9,14,4,16,1
ENSG00000149418,6557,5132,5912,4983,7129,5311
ENSG00000149428,11769,9190,9454,8946,12577,9625
ENSG00000149435,0,0,0,0,0,0
ENSG00000149451,0,2,1,0,0,0
ENSG00000149452,1,0,0,0,0,0
ENSG00000149474,600,518,431,383,553,385
ENSG00000149476,2194,1622,1723,1723,2427,1881
ENSG00000149480,4311,3273,3489,2875,4253,2964
ENSG00000149483,815,704,708,494,818,573
ENSG00000149485,1621,1318,1255,1199,1774,1275
ENSG00000149488,10,6,8,5,9,2
ENSG00000149489,97,76,92,67,134,71
ENSG00000149499,1922,1383,1507,1358,2048,1396
ENSG00000149503,2311,1931,2202,1559,2620,2029
ENSG00000149506,14,15,15,18,18,15
ENSG00000149507,0,0,0,0,0,0
ENSG00000149516,0,0,0,0,0,0
ENSG00000149527,71,63,50,56,76,64
ENSG00000149532,3439,2679,2639,2346,3552,2522
ENSG00000149534,0,0,0,0,0,0
ENSG00000149541,1879,1435,1657,1459,2222,1512
ENSG00000149547,5254,4213,4225,3798,5941,4113
ENSG00000149548,309,224,205,176,306,199
ENSG00000149554,1525,1250,1100,1073,1710,1207
ENSG00000149557,84,81,78,59,100,74
ENSG00000149564,52,48,50,43,65,42
ENSG00000149571,21,26,22,25,31,24
ENSG00000149573,2168,1816,1756,2088,3374,2358
ENSG00000149575,2,0,0,0,0,1
ENSG00000149577,1192,943,1027,940,1319,1004
ENSG00000149582,189,134,158,139,190,153
ENSG00000149591,162,122,108,129,167,148
ENSG00000149596,22,25,15,22,35,17
ENSG00000149599,8,7,7,4,7,2
ENSG00000149600,1068,831,846,755,1163,861
ENSG00000149609,39,18,15,26,30,35
ENSG00000149633,0,0,0,0,0,1
ENSG00000149634,11,20,17,16,17,18
ENSG00000149635,0,0,0,0,0,0
ENSG00000149636,1605,1228,1273,1101,1674,1132
ENSG00000149639,3981,3578,3934,3137,4673,3764
ENSG00000149646,5,6,4,6,8,9
ENSG00000149651,0,0,0,0,0,0
ENSG00000149654,1,1,1,0,0,2
ENSG00000149657,4604,3490,3741,3350,4823,3556
ENSG00000149658,3731,2971,3055,2271,3462,2567
ENSG00000149679,1713,1293,1466,1287,1870,1411
ENSG00000149716,662,534,522,438,752,483
ENSG00000149735,6,5,7,5,8,8
ENSG00000149742,0,0,0,0,0,0
ENSG00000149743,852,586,681,520,880,660
ENSG00000149761,685,496,528,428,675,471
ENSG00000149781,59,32,32,35,52,25
ENSG00000149782,1720,1363,1674,1266,1929,1459
ENSG00000149792,2653,2124,2120,1880,2954,2042
ENSG00000149798,277,245,225,161,236,179
ENSG00000149806,5239,4231,4138,3948,5989,4309
ENSG00000149809,2254,1619,1814,1622,2415,1731
ENSG00000149823,1711,1242,1491,1406,1949,1496
ENSG00000149922,112,73,99,85,122,79
ENSG00000149923,6044,4625,4934,4565,6816,4758
ENSG00000149925,61571,48183,53175,52092,75840,55865
ENSG00000149926,68,61,65,63,78,41
ENSG00000149927,814,570,715,543,889,660
ENSG00000149929,554,494,494,464,687,514
ENSG00000149930,5300,3984,4423,3284,4625,3268
ENSG00000149932,973,841,907,698,1193,800
ENSG00000149948,0,0,0,0,0,0
ENSG00000149968,0,0,0,0,0,0
ENSG00000149970,0,0,0,0,0,0
ENSG00000149972,2,3,2,1,3,1
ENSG00000150045,0,0,0,0,0,0
ENSG00000150048,1,0,0,0,0,0
ENSG00000150051,104,76,84,71,99,80
ENSG00000150054,697,555,550,428,733,527
ENSG00000150093,9189,7419,7671,6545,11014,7663
ENSG00000150201,0,0,0,1,0,0
ENSG00000150244,0,0,0,0,0,0
ENSG00000150261,0,0,0,0,0,0
ENSG00000150269,0,0,0,0,0,0
ENSG00000150275,0,0,0,0,0,0
ENSG00000150281,2,0,1,0,0,0
ENSG00000150316,849,669,655,532,870,649
ENSG00000150337,15,5,16,9,12,11
ENSG00000150347,470,417,406,410,693,491
ENSG00000150361,0,0,0,0,0,0
ENSG00000150394,12,12,7,9,14,14
ENSG00000150401,432,355,362,332,465,340
ENSG00000150403,923,721,794,667,1093,798
ENSG00000150433,530,430,468,404,591,396
ENSG00000150455,205,172,144,155,221,141
ENSG00000150456,484,411,441,333,508,340
ENSG00000150457,544,382,482,378,661,475
ENSG00000150459,3881,3176,3251,2789,4664,3181
ENSG00000150471,1,1,0,0,0,1
ENSG00000150477,460,371,322,300,538,410
ENSG00000150510,13,4,6,7,14,7
ENSG00000150526,0,0,0,0,0,0
ENSG00000150527,47,41,56,31,80,40
ENSG00000150540,159,110,108,98,165,114
ENSG00000150551,62,43,46,55,63,49
ENSG00000150556,798,656,683,635,994,681
ENSG00000150593,2280,2004,2162,1843,3030,2222
ENSG00000150594,16,11,9,10,15,11
ENSG00000150625,0,0,1,0,0,0
ENSG00000150627,142,126,93,124,173,125
ENSG00000150628,0,0,0,0,0,0
ENSG00000150630,32,20,26,15,25,20
ENSG00000150636,2,1,1,1,3,0
ENSG00000150637,0,2,3,0,2,2
ENSG00000150656,2,1,0,3,1,1
ENSG00000150667,11,11,11,8,11,6
ENSG00000150672,14,10,15,12,17,16
ENSG00000150676,29,29,26,33,40,36
ENSG00000150681,0,0,0,0,0,0
ENSG00000150687,1481,1326,1259,1078,1751,1217
ENSG00000150712,1644,1417,1433,1221,1848,1332
ENSG00000150722,0,0,1,0,0,0
ENSG00000150750,0,0,0,0,0,0
ENSG00000150753,15751,12761,12643,11101,17881,12934
ENSG00000150756,706,503,622,478,753,574
ENSG00000150760,855,639,690,593,938,688
ENSG00000150764,45,22,42,24,55,38
ENSG00000150768,1689,1284,1326,1135,1906,1187
ENSG00000150773,25,11,7,10,22,14
ENSG00000150776,640,472,503,292,493,338
ENSG00000150779,715,533,555,501,739,543
ENSG00000150782,28,32,27,30,50,36
ENSG00000150783,3,0,2,0,0,0
ENSG00000150787,471,384,377,353,541,378
ENSG00000150867,1024,842,831,759,1195,847
ENSG00000150873,21,17,13,16,30,8
ENSG00000150893,1211,956,1032,898,1481,1076
ENSG00000150907,158,132,122,109,153,140
ENSG00000150938,1229,975,1075,920,1451,1020
ENSG00000150961,3830,3166,3327,3083,4724,3412
ENSG00000150967,1112,929,974,814,1312,942
ENSG00000150977,352,257,282,250,403,281
ENSG00000150990,1413,1076,1093,1210,1629,1082
ENSG00000150991,22562,17712,15278,21322,31331,20949
ENSG00000150995,1641,1374,1372,1293,1960,1436
ENSG00000151005,0,0,0,0,0,0
ENSG00000151006,223,212,183,160,203,145
ENSG00000151012,359,400,360,328,722,504
ENSG00000151014,461,359,359,443,699,470
ENSG00000151023,4,4,5,6,7,2
ENSG00000151025,4,2,7,4,6,3
ENSG00000151033,8,10,11,3,7,7
ENSG00000151062,46,21,24,28,51,20
ENSG00000151065,310,226,248,170,310,195
ENSG00000151067,9,5,10,6,11,6
ENSG00000151079,0,0,0,0,0,0
ENSG00000151090,517,429,429,399,654,442
ENSG00000151092,842,691,683,576,867,649
ENSG00000151093,332,253,238,163,191,185
ENSG00000151116,1226,1042,996,807,1332,1067
ENSG00000151117,222,163,174,149,219,168
ENSG00000151131,311,281,296,190,340,260
ENSG00000151135,1552,1329,1345,1031,1592,1207
ENSG00000151136,29,35,26,27,39,21
ENSG00000151148,1305,1121,1098,964,1509,1031
ENSG00000151150,1205,1048,1039,929,1406,1044
ENSG00000151151,452,343,351,285,477,308
ENSG00000151164,28,15,14,19,20,21
ENSG00000151176,1789,1370,1513,1460,1962,1449
ENSG00000151208,4416,3416,3667,3516,5027,3769
ENSG00000151224,5,3,2,1,0,5
ENSG00000151229,32,14,22,32,33,39
ENSG00000151233,1948,1510,1422,1276,2006,1403
ENSG00000151239,5039,4107,3999,3539,5713,4020
ENSG00000151240,1255,1087,1151,1042,1541,1179
ENSG00000151247,3242,2640,2485,2121,3444,2529
ENSG00000151276,786,606,671,503,827,652
ENSG00000151287,472,375,410,304,502,352
ENSG00000151292,1040,827,766,738,1181,904
ENSG00000151304,303,243,229,194,351,210
ENSG00000151320,14,6,6,3,8,7
ENSG00000151322,7,7,4,8,5,6
ENSG00000151327,2101,1746,1800,1609,2629,1726
ENSG00000151332,607,465,479,356,634,421
ENSG00000151338,253,209,191,245,326,241
ENSG00000151348,2083,1729,1714,1626,2360,1784
ENSG00000151353,1571,1207,1158,1284,1978,1379
ENSG00000151360,0,0,0,0,0,0
ENSG00000151364,1,0,0,2,1,0
ENSG00000151365,62,45,56,35,44,37
ENSG00000151366,402,341,381,286,464,305
ENSG00000151376,3,2,1,1,2,2
ENSG00000151379,0,0,0,0,0,0
ENSG00000151388,7,1,3,10,4,9
ENSG00000151413,409,347,345,299,507,407
ENSG00000151414,2398,1901,1955,1787,2933,2092
ENSG00000151418,0,0,0,0,0,0
ENSG00000151422,398,339,327,309,483,342
ENSG00000151445,786,559,600,496,764,573
ENSG00000151458,2837,2236,2230,1753,2584,1780
ENSG00000151461,2404,1910,1821,1660,2678,1819
ENSG00000151465,2656,2139,2048,1741,2778,1858
ENSG00000151466,356,259,286,257,413,301
ENSG00000151468,6,8,6,1,2,1
ENSG00000151470,204,142,152,145,242,146
ENSG00000151474,1159,981,988,916,1297,1071
ENSG00000151475,0,0,0,0,0,0
ENSG00000151490,13,6,10,4,3,10
ENSG00000151491,3221,2722,2641,2277,3748,2587
ENSG00000151498,1219,951,989,750,1183,754
ENSG00000151500,630,464,461,363,554,388
