,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAADRAAPEI-223-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAERAAPEI-225-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAFRAAPEI-227-counts.tsv
ENSG00000145029,236,211,232,182,251,213
ENSG00000145040,11,5,8,6,9,7
ENSG00000145041,1101,1000,983,940,1099,993
ENSG00000145050,1457,1129,1116,1242,1312,1204
ENSG00000145075,62,34,27,37,48,39
ENSG00000145087,120,86,105,83,112,135
ENSG00000145088,80,58,65,54,71,51
ENSG00000145103,44,30,41,24,39,43
ENSG00000145107,0,1,3,5,2,5
ENSG00000145113,4,1,0,3,2,4
ENSG00000145147,46,47,39,40,64,38
ENSG00000145191,2149,1683,1690,1739,1946,1571
ENSG00000145192,0,1,0,0,2,0
ENSG00000145194,476,360,438,420,450,404
ENSG00000145198,69,49,45,59,59,63
ENSG00000145214,346,219,284,265,287,256
ENSG00000145216,318,246,237,203,260,235
ENSG00000145217,168,115,122,140,157,126
ENSG00000145220,1013,827,768,760,978,815
ENSG00000145241,567,470,497,478,574,531
ENSG00000145242,0,0,0,0,1,0
ENSG00000145244,2,0,1,1,0,2
ENSG00000145246,32,34,33,42,46,41
ENSG00000145247,459,407,424,399,483,416
ENSG00000145248,5,3,4,4,2,2
ENSG00000145283,0,1,0,1,0,0
ENSG00000145284,919,721,764,787,816,780
ENSG00000145287,4,5,5,5,6,5
ENSG00000145293,2572,2065,1952,2063,2327,1945
ENSG00000145309,0,0,0,0,0,0
ENSG00000145321,0,0,0,0,0,0
ENSG00000145331,186,181,185,200,207,191
ENSG00000145332,909,801,850,830,943,896
ENSG00000145335,0,0,0,0,0,0
ENSG00000145337,0,0,0,0,0,0
ENSG00000145348,951,705,724,788,901,828
ENSG00000145349,985,724,786,781,866,829
ENSG00000145354,984,808,760,796,883,727
ENSG00000145358,9,10,4,7,8,8
ENSG00000145362,7,7,3,8,3,10
ENSG00000145365,619,469,484,497,462,513
ENSG00000145375,249,209,214,259,256,251
ENSG00000145384,0,2,2,0,3,0
ENSG00000145386,3418,2921,3225,2634,3263,3236
ENSG00000145388,924,797,834,701,829,760
ENSG00000145390,745,607,557,551,694,667
ENSG00000145391,6498,5102,5251,5388,6186,5422
ENSG00000145414,568,457,477,440,586,547
ENSG00000145416,300,268,207,290,289,236
ENSG00000145423,0,3,0,0,0,0
ENSG00000145425,15133,12507,11832,12530,14866,12767
ENSG00000145428,0,0,0,0,0,0
ENSG00000145431,13,13,9,7,19,16
ENSG00000145439,515,475,458,422,537,458
ENSG00000145451,2,1,2,1,2,1
ENSG00000145476,166,128,98,113,108,157
ENSG00000145491,10,5,6,6,9,8
ENSG00000145494,2270,1865,1872,1817,2253,1860
ENSG00000145495,7683,6336,6380,6394,7464,6522
ENSG00000145506,22,23,29,21,18,31
ENSG00000145526,1138,876,975,849,1026,851
ENSG00000145536,0,0,0,0,1,0
ENSG00000145545,797,624,582,610,720,665
ENSG00000145555,2922,2429,2424,2419,2773,2688
ENSG00000145569,53,35,27,41,49,34
ENSG00000145592,34064,28281,26906,27995,32464,27342
ENSG00000145604,1893,1504,1412,1629,1711,1414
ENSG00000145623,1918,1436,1502,1655,1925,1601
ENSG00000145626,0,0,0,0,0,0
ENSG00000145632,4596,3578,3682,2927,3502,3062
ENSG00000145642,0,0,0,0,0,0
ENSG00000145649,0,0,0,0,0,0
ENSG00000145675,2167,1774,1665,1731,1945,1778
ENSG00000145681,0,0,0,0,0,0
ENSG00000145685,701,538,576,574,605,584
ENSG00000145687,1029,834,872,816,1004,917
ENSG00000145692,1,0,0,0,0,0
ENSG00000145700,10,10,9,8,5,7
ENSG00000145703,8,11,9,14,9,14
ENSG00000145708,0,0,0,0,0,0
ENSG00000145715,1481,1207,1231,1236,1417,1322
ENSG00000145721,0,0,0,0,1,0
ENSG00000145723,269,235,218,233,287,243
ENSG00000145725,1141,896,900,939,1033,954
ENSG00000145730,1231,1046,1024,1033,1188,1064
ENSG00000145734,2003,1631,1711,1660,1897,1736
ENSG00000145736,608,470,482,502,554,512
ENSG00000145740,1487,1200,1224,1215,1371,1350
ENSG00000145741,12178,9543,9469,10082,11425,10085
ENSG00000145743,651,444,473,504,567,488
ENSG00000145757,9,7,8,7,12,6
ENSG00000145777,0,0,0,0,0,0
ENSG00000145779,120,85,97,94,106,99
ENSG00000145780,580,522,516,412,452,449
ENSG00000145781,452,367,377,409,426,388
ENSG00000145782,1175,954,854,870,1091,975
ENSG00000145794,0,0,0,0,0,0
ENSG00000145808,2494,2031,2136,2096,2582,2403
ENSG00000145817,850,730,739,722,787,777
ENSG00000145819,31,20,14,20,21,16
ENSG00000145824,0,0,0,0,0,0
ENSG00000145826,0,0,0,0,0,0
ENSG00000145832,148,111,124,149,143,136
ENSG00000145833,3949,3200,3267,3196,3975,3493
ENSG00000145839,0,1,0,0,0,0
ENSG00000145850,0,0,0,0,0,0
ENSG00000145860,636,495,554,523,611,593
ENSG00000145861,13,9,8,3,7,7
ENSG00000145863,0,0,0,0,1,0
ENSG00000145864,3,2,3,1,4,0
ENSG00000145868,648,578,549,572,647,575
ENSG00000145879,0,0,0,0,0,0
ENSG00000145882,1189,936,993,1031,1216,959
ENSG00000145888,2,1,0,1,0,0
ENSG00000145901,1764,1268,1653,1384,1696,1476
ENSG00000145907,3847,3125,3148,3349,3881,3371
ENSG00000145908,168,153,131,163,190,161
ENSG00000145911,4397,3306,3795,3133,3837,3648
ENSG00000145912,2916,2293,2374,2388,2652,2342
ENSG00000145916,3529,2874,3052,2900,3501,3085
ENSG00000145919,2028,1609,1563,1542,1888,1573
ENSG00000145920,5,3,5,1,5,1
ENSG00000145934,1,2,1,2,2,2
ENSG00000145936,5,1,1,6,1,1
ENSG00000145945,194,133,157,159,149,128
ENSG00000145949,13,9,5,11,12,2
ENSG00000145975,3,5,4,15,10,12
ENSG00000145979,570,486,496,493,591,506
ENSG00000145982,242,183,213,169,203,211
ENSG00000145990,426,354,394,376,460,419
ENSG00000145996,274,185,236,254,268,221
ENSG00000146005,15,13,18,14,18,16
ENSG00000146006,3,1,1,0,4,3
ENSG00000146007,1866,1523,1495,1416,1767,1536
ENSG00000146013,14,10,11,19,15,14
ENSG00000146021,5,7,9,1,7,8
ENSG00000146038,542,459,450,417,525,452
ENSG00000146039,0,0,0,0,0,0
ENSG00000146047,0,0,0,0,0,0
ENSG00000146049,0,2,4,2,1,0
ENSG00000146054,39,22,23,28,38,25
ENSG00000146063,1534,1089,1222,1226,1446,1220
ENSG00000146066,648,552,607,578,660,584
ENSG00000146067,1493,1080,1271,1189,1492,1223
ENSG00000146070,0,0,0,0,0,0
ENSG00000146072,259,213,233,197,258,235
ENSG00000146083,1227,1076,1191,988,1218,1239
ENSG00000146085,1201,923,994,947,1099,987
ENSG00000146090,30,18,34,19,25,19
ENSG00000146094,244,172,168,236,225,177
ENSG00000146109,1103,828,939,779,987,782
ENSG00000146112,460,423,499,289,467,481
ENSG00000146122,3,2,3,4,3,1
ENSG00000146143,791,641,650,642,756,708
ENSG00000146147,0,0,0,0,0,1
ENSG00000146151,555,504,475,479,545,512
ENSG00000146166,0,0,0,0,0,0
ENSG00000146192,2,2,1,1,1,5
ENSG00000146197,66,62,49,62,86,60
ENSG00000146205,29,22,25,20,26,23
ENSG00000146215,0,0,0,0,0,0
ENSG00000146216,5,2,2,3,5,4
ENSG00000146221,3,0,0,2,2,1
ENSG00000146223,7867,6518,6368,6224,7286,6634
ENSG00000146232,216,177,190,199,221,200
ENSG00000146233,0,0,0,0,0,0
ENSG00000146242,4072,3068,3367,3125,3499,3217
ENSG00000146243,129,86,107,104,103,100
ENSG00000146247,3361,2832,2849,2911,3169,3182
ENSG00000146250,6,8,9,9,15,10
ENSG00000146263,1339,962,932,1191,1262,1171
ENSG00000146267,311,200,208,210,272,204
ENSG00000146276,0,0,0,0,0,0
ENSG00000146278,534,385,521,700,875,913
ENSG00000146281,338,268,218,229,260,230
ENSG00000146282,1364,1044,1149,1149,1274,1100
ENSG00000146285,0,0,0,0,0,0
ENSG00000146350,108,78,100,103,126,109
ENSG00000146352,0,0,0,0,0,0
ENSG00000146360,0,0,0,0,0,0
ENSG00000146373,2,0,3,2,2,0
ENSG00000146374,0,0,0,0,0,0
ENSG00000146376,193,172,149,182,189,151
ENSG00000146378,0,0,0,0,0,0
ENSG00000146383,0,0,0,0,0,0
ENSG00000146385,0,0,0,0,0,0
ENSG00000146386,1527,1254,1203,1288,1440,1287
ENSG00000146399,0,0,0,0,0,0
ENSG00000146409,328,268,280,287,359,290
ENSG00000146410,349,336,321,290,412,311
ENSG00000146411,0,1,2,0,2,1
ENSG00000146414,398,333,319,387,460,350
ENSG00000146416,803,670,749,721,857,761
ENSG00000146425,1615,1376,1344,1441,1617,1428
ENSG00000146426,136,115,115,111,110,120
ENSG00000146433,1577,1247,1252,1333,1529,1314
ENSG00000146453,2,1,3,2,0,0
ENSG00000146457,1295,1108,1073,974,1198,992
ENSG00000146463,1534,1225,1169,1155,1411,1199
ENSG00000146469,0,0,0,0,0,0
ENSG00000146476,7438,6137,6336,6231,7204,7089
ENSG00000146477,0,0,0,0,0,0
ENSG00000146530,1277,1129,1153,1019,1260,1208
ENSG00000146535,3148,2482,2672,2487,2935,2620
ENSG00000146540,2859,2091,2416,2286,2656,2286
ENSG00000146555,1973,1553,1698,1745,1942,1655
ENSG00000146574,775,628,706,654,774,662
ENSG00000146576,1045,724,798,753,877,767
ENSG00000146587,1554,1239,1218,1091,1235,1198
ENSG00000146592,2,2,2,4,1,1
ENSG00000146618,0,0,0,0,0,0
ENSG00000146648,83,59,65,86,74,69
ENSG00000146670,4212,3400,3379,3363,3979,3251
ENSG00000146674,16,9,17,11,16,12
ENSG00000146676,2139,1700,1659,1691,1864,1766
ENSG00000146678,0,0,0,0,0,0
ENSG00000146700,34,12,18,20,22,25
ENSG00000146701,6239,4944,5111,5266,6151,5193
ENSG00000146707,33,26,21,16,35,35
ENSG00000146729,1473,1211,1211,1216,1373,1270
ENSG00000146731,12152,9667,9445,9739,11081,9545
ENSG00000146733,769,679,691,658,763,719
ENSG00000146755,2,3,0,2,2,2
ENSG00000146757,401,316,273,247,294,256
ENSG00000146776,188,169,158,153,198,164
ENSG00000146802,686,549,613,568,664,491
ENSG00000146809,0,0,0,0,0,0
ENSG00000146826,529,361,387,394,437,343
ENSG00000146828,1709,1300,1419,1409,1576,1325
ENSG00000146830,3431,2595,2858,2791,3312,2785
ENSG00000146833,386,305,335,329,346,365
ENSG00000146834,3497,2693,2747,2712,3130,2520
ENSG00000146839,2,5,2,0,2,5
ENSG00000146842,488,379,350,425,501,418
ENSG00000146856,21,11,11,13,11,14
ENSG00000146857,0,0,0,0,0,0
ENSG00000146858,256,174,204,192,192,157
ENSG00000146859,255,175,195,201,240,167
ENSG00000146872,3999,3416,3425,3236,3922,3489
ENSG00000146904,734,527,567,614,665,554
ENSG00000146909,1657,1320,1262,1504,1676,1372
ENSG00000146910,0,0,0,0,2,0
ENSG00000146918,6037,4993,4957,5004,6061,5266
ENSG00000146926,0,0,0,0,0,0
ENSG00000146938,0,0,0,0,0,0
ENSG00000146950,1871,1478,1639,1469,1700,1518
ENSG00000146955,4,3,6,3,1,6
ENSG00000146963,1518,1276,1249,1278,1429,1309
ENSG00000146966,6,1,0,2,0,0
ENSG00000147003,21,11,23,14,18,25
ENSG00000147010,1103,930,932,941,1121,941
ENSG00000147027,2,0,3,1,0,2
ENSG00000147036,25,20,17,27,34,20
ENSG00000147041,2251,1674,1716,1787,2057,1702
ENSG00000147044,2172,1745,1654,1843,2045,1847
ENSG00000147050,1033,837,761,809,968,825
ENSG00000147059,24,11,34,17,27,28
ENSG00000147065,2,1,0,0,0,0
ENSG00000147081,0,0,0,0,0,0
ENSG00000147082,5,8,3,4,14,13
ENSG00000147099,440,349,348,353,430,409
ENSG00000147100,1962,1519,1628,1578,1822,1532
ENSG00000147113,0,0,0,0,0,0
ENSG00000147117,4,8,5,3,9,7
ENSG00000147118,161,138,154,112,149,150
ENSG00000147119,108,70,101,91,111,85
ENSG00000147121,272,222,214,258,231,230
ENSG00000147123,2080,1559,1781,1650,1929,1723
ENSG00000147124,398,349,326,341,350,298
ENSG00000147127,5,5,6,2,7,1
ENSG00000147130,2278,1884,2062,1778,2167,1985
ENSG00000147133,2777,2147,2178,2157,2565,2272
ENSG00000147138,0,0,0,0,0,0
ENSG00000147140,16949,13792,13745,14206,16277,14383
ENSG00000147144,1004,714,794,773,887,815
ENSG00000147145,1,4,1,4,6,1
ENSG00000147155,2799,2268,2262,2269,2611,2402
ENSG00000147160,0,0,0,0,0,0
ENSG00000147162,6852,5541,5669,5482,6499,5802
ENSG00000147164,2020,1604,1431,1540,1717,1572
ENSG00000147166,55,37,44,36,30,22
ENSG00000147168,2,4,5,4,2,2
ENSG00000147174,49,42,27,27,32,25
ENSG00000147180,195,168,173,163,162,184
ENSG00000147183,0,0,0,0,0,0
ENSG00000147202,354,276,260,263,351,324
ENSG00000147206,1,0,3,1,0,0
ENSG00000147223,1,0,0,0,0,0
ENSG00000147224,2115,1758,1693,1762,1996,1732
ENSG00000147231,1,0,2,0,0,1
ENSG00000147234,39,43,57,47,44,36
ENSG00000147246,8,5,3,6,12,7
ENSG00000147251,18,13,11,10,13,11
ENSG00000147255,268,188,193,231,242,232
ENSG00000147256,27,16,15,20,21,20
ENSG00000147257,10,8,15,12,13,17
ENSG00000147262,0,0,0,0,0,0
ENSG00000147274,10272,8370,8374,8119,9726,8604
ENSG00000147316,228,234,188,251,224,208
ENSG00000147324,613,484,569,481,623,514
ENSG00000147364,292,221,218,185,323,240
ENSG00000147378,21,20,24,17,25,19
ENSG00000147381,1,0,5,1,6,4
ENSG00000147383,1698,1350,1415,1302,1588,1371
ENSG00000147394,209,152,165,155,178,159
ENSG00000147400,2023,1683,1698,1721,1968,1768
ENSG00000147403,35924,28543,29159,30613,34485,29445
ENSG00000147408,57,33,42,29,41,34
ENSG00000147416,1339,1011,1075,1131,1319,1114
ENSG00000147419,1046,899,876,889,1037,979
ENSG00000147421,378,283,338,301,356,355
ENSG00000147432,0,0,0,0,0,0
ENSG00000147434,0,0,0,0,0,0
ENSG00000147437,52,31,31,24,31,35
ENSG00000147439,266,218,208,226,226,188
ENSG00000147443,0,0,1,0,0,0
ENSG00000147454,1351,999,1036,1037,1202,975
ENSG00000147457,1167,922,997,900,1049,925
ENSG00000147459,1602,1295,1300,1362,1615,1364
ENSG00000147465,1,4,5,1,3,1
ENSG00000147471,1039,950,905,929,1083,891
ENSG00000147475,1704,1373,1350,1340,1650,1449
ENSG00000147481,0,0,0,1,0,1
ENSG00000147485,3,1,1,2,7,2
ENSG00000147488,0,0,0,0,0,0
ENSG00000147509,2,8,4,11,8,9
ENSG00000147526,1195,997,976,992,1142,1053
ENSG00000147533,887,718,730,752,767,757
ENSG00000147535,1020,784,764,868,934,840
ENSG00000147536,547,412,378,424,528,396
ENSG00000147548,2267,1833,1838,1760,2026,1918
ENSG00000147570,1,1,1,4,0,3
ENSG00000147571,2,2,0,3,3,1
ENSG00000147573,5,4,6,2,5,9
ENSG00000147576,6,3,4,4,2,7
ENSG00000147586,125,99,106,118,131,108
ENSG00000147588,0,0,0,0,0,0
ENSG00000147592,226,196,184,192,261,212
ENSG00000147596,0,0,0,0,0,0
ENSG00000147601,487,399,379,396,420,422
ENSG00000147604,19477,15938,15139,15760,18661,16235
ENSG00000147606,1,0,0,0,0,0
ENSG00000147613,1,0,0,0,0,0
ENSG00000147614,0,0,0,0,0,0
ENSG00000147642,198,144,147,134,179,157
ENSG00000147647,0,0,0,0,0,0
ENSG00000147649,7642,6304,6421,6371,7076,6713
ENSG00000147650,190,148,150,161,167,155
ENSG00000147654,850,798,738,805,866,770
ENSG00000147655,0,0,0,0,0,0
ENSG00000147669,1888,1594,1517,1526,1912,1668
ENSG00000147676,6370,5076,5216,5377,5948,5659
ENSG00000147677,6744,5567,5485,5610,6530,5876
ENSG00000147679,1019,834,772,828,901,793
ENSG00000147684,4210,3495,3162,3358,3906,3147
ENSG00000147687,1896,1633,1570,1593,1877,1599
ENSG00000147689,687,532,584,599,645,602
ENSG00000147697,0,0,0,0,0,1
ENSG00000147724,0,0,0,0,0,0
ENSG00000147789,738,657,569,624,733,588
ENSG00000147799,1273,837,1057,928,1099,963
ENSG00000147804,431,274,398,381,425,354
ENSG00000147813,554,357,353,386,459,308
ENSG00000147852,252,197,211,223,258,242
ENSG00000147853,1555,1285,1295,1286,1561,1424
ENSG00000147854,1001,787,772,883,971,957
ENSG00000147862,1357,1094,1092,1054,1255,1217
ENSG00000147869,0,0,0,0,0,0
ENSG00000147872,76,76,59,61,77,46
ENSG00000147873,0,0,0,0,0,0
ENSG00000147874,1015,851,832,798,904,861
ENSG00000147883,0,0,0,0,0,0
ENSG00000147885,0,0,0,0,0,0
ENSG00000147889,0,0,0,0,0,0
ENSG00000147894,211,161,150,149,173,188
ENSG00000147896,0,0,0,0,0,0
ENSG00000147905,472,352,341,323,429,339
ENSG00000147912,246,184,173,169,213,170
ENSG00000147955,530,408,454,410,505,487
ENSG00000147996,1489,1300,1292,1264,1474,1229
ENSG00000148019,2680,2135,2013,1988,2472,2153
ENSG00000148053,1546,1251,1281,1321,1386,1382
ENSG00000148057,120,103,92,103,133,97
ENSG00000148082,84,47,72,61,71,58
ENSG00000148090,381,286,331,289,310,330
ENSG00000148110,3312,2639,2572,2827,3142,2803
ENSG00000148120,807,607,637,635,754,592
ENSG00000148123,0,1,1,0,0,1
ENSG00000148136,0,0,0,0,0,0
ENSG00000148143,173,159,147,137,173,140
ENSG00000148153,1364,1093,1092,1160,1287,1156
ENSG00000148154,3506,2733,2811,3174,3673,3427
ENSG00000148156,1,1,3,0,1,0
ENSG00000148158,1656,1332,1392,1345,1619,1463
ENSG00000148175,1297,1117,1156,1142,1412,1127
ENSG00000148180,1250,1004,1131,1064,1213,1045
ENSG00000148187,1449,1232,1134,1199,1512,1147
ENSG00000148200,204,131,168,157,199,179
ENSG00000148204,19,8,5,11,12,8
ENSG00000148215,1,0,0,0,0,3
ENSG00000148218,1523,1270,1327,1206,1430,1301
ENSG00000148219,673,470,439,504,616,541
ENSG00000148225,138,142,146,128,139,149
ENSG00000148229,5274,4267,4019,4254,4861,3912
ENSG00000148248,10209,8248,8760,8369,9667,8871
ENSG00000148288,0,0,0,0,0,0
ENSG00000148290,693,591,597,613,743,583
ENSG00000148291,969,743,701,769,862,683
ENSG00000148296,2777,1947,2021,1949,2255,1855
ENSG00000148297,2791,2247,2370,2166,2731,2249
ENSG00000148300,1445,1153,1190,1124,1397,1206
ENSG00000148303,60860,49373,48368,49329,58591,49919
ENSG00000148308,3136,2421,2670,2403,3013,2702
ENSG00000148331,1073,807,819,781,913,717
ENSG00000148334,4888,3510,3715,3802,4506,3766
ENSG00000148335,1097,874,851,959,995,924
ENSG00000148337,4427,3753,3833,3761,4532,3941
ENSG00000148339,1590,1282,1332,1541,1927,1513
ENSG00000148341,7925,5913,6845,6516,7739,6864
ENSG00000148343,1259,971,1010,987,1179,925
ENSG00000148344,153,140,140,146,164,129
ENSG00000148346,9,9,5,7,6,6
ENSG00000148356,810,641,732,697,851,804
ENSG00000148357,20,12,12,16,14,2
ENSG00000148358,3820,3009,3185,2989,3852,3293
ENSG00000148362,2929,2040,2282,2295,2550,2212
ENSG00000148377,1,2,1,4,4,4
ENSG00000148384,1347,868,1130,1085,1273,990
ENSG00000148386,0,0,0,0,0,0
ENSG00000148396,10473,8390,8732,8437,9555,8212
ENSG00000148399,1488,1060,1237,1279,1435,1175
ENSG00000148400,1675,1132,1274,1256,1461,1206
ENSG00000148408,2,0,0,1,2,0
ENSG00000148411,987,766,879,776,912,853
ENSG00000148426,350,265,323,260,292,252
ENSG00000148429,1294,1112,1154,1076,1323,1167
ENSG00000148444,344,231,278,226,279,271
ENSG00000148450,1286,1097,1154,1098,1274,1125
ENSG00000148459,833,582,582,656,751,540
ENSG00000148468,17,10,17,18,11,13
ENSG00000148481,622,484,471,518,667,510
ENSG00000148482,0,0,0,0,0,0
ENSG00000148483,5,3,3,4,7,1
ENSG00000148484,1000,781,831,826,958,837
ENSG00000148488,238,212,206,211,259,236
ENSG00000148498,1381,1054,1038,1106,1276,1182
ENSG00000148513,1173,1049,1066,1014,1243,1250
ENSG00000148516,6,6,1,4,3,7
ENSG00000148541,48,40,39,49,68,37
ENSG00000148572,478,359,389,348,396,399
ENSG00000148584,2,0,3,4,2,0
ENSG00000148600,0,0,0,0,0,0
ENSG00000148602,0,0,0,0,0,0
ENSG00000148604,0,0,0,1,0,0
ENSG00000148606,1405,1182,1081,1166,1403,1198
ENSG00000148634,1768,1437,1451,1508,1751,1638
ENSG00000148655,5,1,6,3,2,0
ENSG00000148660,1810,1431,1319,1391,1791,1400
ENSG00000148671,0,0,0,0,0,0
ENSG00000148672,3317,2800,2659,2696,3112,2826
ENSG00000148677,2,3,0,1,3,2
ENSG00000148680,4,6,1,3,3,2
ENSG00000148688,647,528,516,565,602,529
ENSG00000148690,579,409,503,422,539,515
ENSG00000148700,6,9,7,11,13,16
ENSG00000148702,3,0,0,1,0,2
ENSG00000148704,0,0,0,0,0,0
ENSG00000148719,1603,1302,1280,1244,1420,1211
ENSG00000148730,5277,4300,4230,4418,5003,4645
ENSG00000148734,0,0,0,0,1,0
ENSG00000148735,60,36,38,33,53,29
ENSG00000148737,352,291,283,311,328,311
ENSG00000148773,17139,15564,16109,13172,16782,15734
ENSG00000148795,0,2,2,0,3,4
ENSG00000148798,0,0,0,0,0,0
ENSG00000148803,61,48,50,53,65,50
ENSG00000148814,195,153,167,196,185,167
ENSG00000148824,128,103,118,112,134,118
ENSG00000148826,1,0,0,0,0,0
ENSG00000148832,13,11,15,12,15,13
ENSG00000148834,2539,2007,2011,2143,2316,2015
ENSG00000148835,365,320,350,274,310,402
ENSG00000148840,3004,2386,2170,2146,2526,2029
ENSG00000148841,143,99,105,127,145,121
ENSG00000148842,303,241,221,253,306,258
ENSG00000148843,3683,2790,2810,2973,3403,2706
ENSG00000148848,1,0,0,0,2,1
ENSG00000148908,673,451,540,543,589,516
ENSG00000148925,1196,1055,999,1025,1164,1014
ENSG00000148926,47,35,37,41,50,30
ENSG00000148935,0,2,0,0,2,0
ENSG00000148942,5,5,2,2,4,3
ENSG00000148943,816,691,655,743,750,677
ENSG00000148948,10,9,12,13,8,7
ENSG00000148950,465,415,360,394,457,426
ENSG00000148965,0,0,0,0,0,0
ENSG00000148985,544,391,460,405,513,453
ENSG00000149016,372,258,306,302,322,268
ENSG00000149021,0,0,0,0,0,0
ENSG00000149043,470,268,276,412,408,288
ENSG00000149050,0,0,0,0,0,0
ENSG00000149054,0,0,0,0,0,0
ENSG00000149084,802,648,654,718,791,723
ENSG00000149089,998,851,740,818,946,894
ENSG00000149090,0,0,0,2,0,2
ENSG00000149091,4394,3350,3627,3729,4288,3487
ENSG00000149100,5406,4438,4336,4562,5127,4454
ENSG00000149115,3553,2760,3034,2471,2950,2687
ENSG00000149124,0,0,0,0,0,0
ENSG00000149131,3,5,1,0,4,3
ENSG00000149133,0,0,0,0,0,0
ENSG00000149136,5782,4839,4786,4802,5584,4672
ENSG00000149150,77,50,62,40,67,70
ENSG00000149177,1958,1601,1620,1486,1837,1694
ENSG00000149179,512,422,386,405,485,409
ENSG00000149182,4086,3256,3466,3324,3910,3254
ENSG00000149187,6834,5359,5503,5592,6380,5531
ENSG00000149196,1101,789,891,855,990,850
ENSG00000149201,15,18,17,20,36,23
ENSG00000149212,277,206,210,242,255,282
ENSG00000149218,1862,1546,1568,1630,1981,1714
ENSG00000149231,53,41,35,35,28,35
ENSG00000149243,157,89,100,115,110,101
ENSG00000149256,86,35,32,57,54,50
ENSG00000149257,5208,4058,4726,4234,4875,4835
ENSG00000149260,108,91,85,97,115,115
ENSG00000149262,787,695,757,681,756,679
ENSG00000149269,204,191,156,189,234,192
ENSG00000149273,52220,42331,42269,42823,50948,44064
ENSG00000149289,21,27,6,26,28,24
ENSG00000149292,325,282,275,319,331,280
ENSG00000149294,15,7,8,13,8,19
ENSG00000149295,37,40,31,65,39,53
ENSG00000149300,0,0,1,0,0,1
ENSG00000149305,0,0,0,0,0,0
ENSG00000149308,560,395,520,460,438,384
ENSG00000149311,904,779,766,717,846,894
ENSG00000149313,716,579,522,534,558,523
ENSG00000149328,1312,999,996,1027,1304,1050
ENSG00000149346,644,521,520,487,485,557
ENSG00000149357,3343,2506,2694,2669,3030,2697
ENSG00000149380,5,4,6,7,5,0
ENSG00000149403,9,9,14,9,7,9
ENSG00000149418,6557,5132,5912,5247,6334,5846
ENSG00000149428,11769,9190,9454,9415,11074,9902
ENSG00000149435,0,0,0,0,0,0
ENSG00000149451,0,2,1,4,0,0
ENSG00000149452,1,0,0,0,0,0
ENSG00000149474,600,518,431,487,539,422
ENSG00000149476,2194,1622,1723,1821,2193,1841
ENSG00000149480,4311,3273,3489,3172,3752,3255
ENSG00000149483,815,704,708,656,769,747
ENSG00000149485,1621,1318,1255,1352,1523,1306
ENSG00000149488,10,6,8,0,9,0
ENSG00000149489,97,76,92,87,86,64
ENSG00000149499,1922,1383,1507,1539,1632,1497
ENSG00000149503,2311,1931,2202,1761,2201,2116
ENSG00000149506,14,15,15,16,19,10
ENSG00000149507,0,0,0,0,0,0
ENSG00000149516,0,0,0,0,0,0
ENSG00000149527,71,63,50,59,57,55
ENSG00000149532,3439,2679,2639,2565,3031,2514
ENSG00000149534,0,0,0,0,0,0
ENSG00000149541,1879,1435,1657,1439,1756,1587
ENSG00000149547,5254,4213,4225,4277,5171,4336
ENSG00000149548,309,224,205,214,212,218
ENSG00000149554,1525,1250,1100,1235,1538,1205
ENSG00000149557,84,81,78,55,68,78
ENSG00000149564,52,48,50,42,53,59
ENSG00000149571,21,26,22,21,21,18
ENSG00000149573,2168,1816,1756,2001,2380,2057
ENSG00000149575,2,0,0,1,1,1
ENSG00000149577,1192,943,1027,964,1075,1039
ENSG00000149582,189,134,158,169,196,172
ENSG00000149591,162,122,108,125,168,129
ENSG00000149596,22,25,15,22,26,21
ENSG00000149599,8,7,7,5,6,4
ENSG00000149600,1068,831,846,868,1073,897
ENSG00000149609,39,18,15,28,36,24
ENSG00000149633,0,0,0,0,0,0
ENSG00000149634,11,20,17,15,23,18
ENSG00000149635,0,0,0,1,0,0
ENSG00000149636,1605,1228,1273,1264,1447,1178
ENSG00000149639,3981,3578,3934,3356,4183,3952
ENSG00000149646,5,6,4,7,4,6
ENSG00000149651,0,0,0,0,0,0
ENSG00000149654,1,1,1,1,0,1
ENSG00000149657,4604,3490,3741,3498,4418,3817
ENSG00000149658,3731,2971,3055,2821,3245,2757
ENSG00000149679,1713,1293,1466,1458,1692,1516
ENSG00000149716,662,534,522,547,632,577
ENSG00000149735,6,5,7,4,4,9
ENSG00000149742,0,0,0,0,0,0
ENSG00000149743,852,586,681,700,779,688
ENSG00000149761,685,496,528,466,558,540
ENSG00000149781,59,32,32,34,35,38
ENSG00000149782,1720,1363,1674,1435,1711,1605
ENSG00000149792,2653,2124,2120,2285,2514,2108
ENSG00000149798,277,245,225,181,238,213
ENSG00000149806,5239,4231,4138,4275,5142,3993
ENSG00000149809,2254,1619,1814,1794,2091,1942
ENSG00000149823,1711,1242,1491,1411,1622,1509
ENSG00000149922,112,73,99,64,87,108
